query_id,split,query_zh,query_en,query_type,expected_answerable,relevant_paper_keys,relevant_passage_ids,answer_claim_family,passage_overlap,answer_claim_overlap,independence_note,review_status,answerable_correct,relevant_passages_correct,review_decision,reviewer,reviewed_at,reviewer_notes
D011,dev_hard_negative,Cardboard-Boxes-Dataset上的TPMN实验是否把90%设为检测准确率目标？,Do the TPMN experiments on Cardboard-Boxes-Dataset set a 90% detection-accuracy target?,hard_negative,false,,,tpmn_90pct_target_misattribution,,,,pending_review,,,,,,
D012,dev_hard_negative,SSD纸箱缺陷系统是否在QZU-DET上报告了98.1%的mAP50？,Does the SSD carton-defect system report 98.1% mAP50 on QZU-DET?,hard_negative,false,,,ssd_qzudet_map_misattribution,,,,pending_review,,,,,,
H001,held_out,双视图迁移学习包装数据集包含多少个包装样本，每个样本由哪些视图组成？,"How many package examples are in the two-view transfer-learning dataset, and which views make up each example?",single_paper,true,2V3T43BS,2V3T43BS:2V3T43BS_chunk_0003;2V3T43BS:2V3T43BS_chunk_0004,two_view_dataset_unit_and_views,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H002,held_out,瓦楞纸板CNN分类器为什么增加Not类，它表示什么情况？,"Why does the corrugated-board CNN classifier add a Not class, and what situation does it represent?",single_paper,true,Q55RU9N6,Q55RU9N6:Q55RU9N6_chunk_0009;Q55RU9N6:Q55RU9N6_chunk_0010,cnn_not_class_purpose,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H003,held_out,双瓦楞纸板几何分析方法测量哪些几何特征？,Which geometric features does the double-walled corrugated-board analysis method measure?,single_paper,true,JRIUZQ58,JRIUZQ58:JRIUZQ58_chunk_0001,double_wall_measured_geometry,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H004,held_out,双视图迁移学习实验中，哪个预训练模型变体取得最高分类得分，其Accuracy和F1是多少？,"Which pretrained-model variant achieves the highest classification scores in the two-view experiment, and what are its Accuracy and F1?",single_paper,true,2V3T43BS,2V3T43BS:2V3T43BS_chunk_0010;2V3T43BS:2V3T43BS_chunk_0011,two_view_best_classification_model,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H005,held_out,瓦楞纸板类型分类中，最高平均准确率的CNN结构是什么，平均准确率是多少？,"Which CNN architecture has the highest average accuracy for corrugated-board type classification, and what is that accuracy?",single_paper,true,Q55RU9N6,Q55RU9N6:Q55RU9N6_chunk_0012;Q55RU9N6:Q55RU9N6_chunk_0013,flute_cnn_best_architecture_accuracy,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H006,held_out,双瓦楞几何方法的遗传算法使用了多少次最大迭代、多少种群规模，以及什么变异和交叉概率？,"What maximum iterations, population size, mutation probability, and crossover probability are used by the genetic algorithm for double-wall geometry?",single_paper,true,JRIUZQ58,JRIUZQ58:JRIUZQ58_chunk_0016,double_wall_genetic_algorithm_parameters,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H007,held_out,QZU-DET上的改进YOLOv8报告了多少mAP50和F1？,What mAP50 and F1 does the improved YOLOv8 report on QZU-DET?,single_paper,true,3NLKTSIP,3NLKTSIP:3NLKTSIP_chunk_0002;3NLKTSIP:3NLKTSIP_chunk_0005,qzudet_map50_f1,true,false,"The passages overlap development qrels, but development asks inference speed and small/multi-scale methods, not the mAP50/F1 result.",pending_review,,,,,,
H008,held_out,改进SSD纸箱缺陷模型收集了多少张物流纸箱照片用于训练和优化？,How many logistics-carton photos were collected to train and optimize the improved SSD model?,single_paper,true,Z5HMPJQG,Z5HMPJQG:Z5HMPJQG_chunk_0005,ssd_training_photo_count,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H009,held_out,双视图迁移学习研究与瓦楞纸板CNN分类研究分别如何构成单个输入样本？,How do the two-view transfer-learning study and the corrugated-board CNN classification study construct one input sample?,cross_paper,true,2V3T43BS;Q55RU9N6,2V3T43BS:2V3T43BS_chunk_0004;Q55RU9N6:Q55RU9N6_chunk_0007;Q55RU9N6:Q55RU9N6_chunk_0008,cross_paper_input_sample_construction,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H010,held_out,两项包装分类研究各自取得最高分类得分的模型是什么，报告的得分如何比较？,"Which model achieves the highest classification score in each of the two packaging-classification studies, and how do the reported scores compare?",cross_paper,true,2V3T43BS;Q55RU9N6,2V3T43BS:2V3T43BS_chunk_0010;2V3T43BS:2V3T43BS_chunk_0011;Q55RU9N6:Q55RU9N6_chunk_0012;Q55RU9N6:Q55RU9N6_chunk_0013,cross_paper_best_classification_models,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H011,held_out,双瓦楞几何分析论文与瓦楞纸板CNN论文的主要输出目标有何不同？,How do the primary output goals differ between the double-wall geometry paper and the corrugated-board CNN paper?,cross_paper,true,JRIUZQ58;Q55RU9N6,JRIUZQ58:JRIUZQ58_chunk_0001;Q55RU9N6:Q55RU9N6_chunk_0004;Q55RU9N6:Q55RU9N6_chunk_0005,cross_paper_geometry_vs_classification_output,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H012,held_out,双视图包装分类与双瓦楞几何分析分别报告了什么数据或样本质量限制？,What data or sample-quality limitation is reported by the two-view package classifier and by the double-wall geometry method?,cross_paper,true,2V3T43BS;JRIUZQ58,2V3T43BS:2V3T43BS_chunk_0010;2V3T43BS:2V3T43BS_chunk_0011;JRIUZQ58:JRIUZQ58_chunk_0026;JRIUZQ58:JRIUZQ58_chunk_0028;JRIUZQ58:JRIUZQ58_chunk_0029,cross_paper_data_quality_limitations,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H013,held_out,双视图迁移学习包装分类器在独立真实仓库数据集上的准确率是多少？,What accuracy does the two-view transfer-learning package classifier report on an independent real-warehouse dataset?,in_domain_no_answer,false,,,two_view_real_warehouse_accuracy_no_answer,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H014,held_out,瓦楞纸板CNN对分层或倾斜样本报告了多少分类准确率？,What classification accuracy does the corrugated-board CNN report for delaminated or inclined samples?,in_domain_no_answer,false,,,flute_cnn_delamination_inclination_accuracy_no_answer,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H015,held_out,哪篇论文使用RGB-D直接检测瓦楞纸箱缺陷？,Which paper uses RGB-D to directly detect corrugated carton defects?,near_miss_hard_negative,false,,,rgbd_carton_direct_detection,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
H016,held_out,哪篇论文用MRI达到121 FPS的包装检测？,Which paper uses MRI to achieve 121 FPS packaging inspection?,near_miss_hard_negative,false,,,mri_121fps_attribution,false,false,No qrel passage overlap with reviewed development; answer intent was audited as distinct.,pending_review,,,,,,
